"","logID","pasteID2","fightID","size","difficulty","tag_hmsize","first_mark_cast","2500/5000 dmg. (HM/NM)","Weighted(Beast=5)","Weighted(Beast=3)"
"4774","vdj7WDTVQAHNmk2G","vdj7WDTVQAHNmk2G16",16,10,"Hard","Heroic-10m",85.813,99.372,99,101
"4775","vdj7WDTVQAHNmk2G","vdj7WDTVQAHNmk2G17",17,10,"Hard","Heroic-10m",88.725,96.9768,99,104
"4776","vdj7WDTVQAHNmk2G","vdj7WDTVQAHNmk2G18",18,10,"Hard","Heroic-10m",103.621,99.124,113,117
"4777","vdj7WDTVQAHNmk2G","vdj7WDTVQAHNmk2G19",19,10,"Hard","Heroic-10m",106.855,99.8856,113,116
"4778","vdj7WDTVQAHNmk2G","vdj7WDTVQAHNmk2G20",20,10,"Hard","Heroic-10m",113.307,96.81,113,113
"4779","vdj7WDTVQAHNmk2G","vdj7WDTVQAHNmk2G21",21,10,"Hard","Heroic-10m",106.846,95.6952,97,97
"4780","vfgYzCRXrxwBQkF8","vfgYzCRXrxwBQkF815",15,10,"Hard","Heroic-10m",61.54,108.638,118,131
"4781","vgRb7fxXLPkWTnKc","vgRb7fxXLPkWTnKc16",16,10,"Hard","Heroic-10m",82.571,99.8772,88,93
"4782","vhct4PHV6G8zyJYk","vhct4PHV6G8zyJYk15",15,25,"Hard","Heroic-25m",58.416,109.532,147,154
"4783","vpKRzyGabQZPwxHj","vpKRzyGabQZPwxHj21",21,10,"Hard","Heroic-10m",85.701,106.2844,125,134
"4784","vpKRzyGabQZPwxHj","vpKRzyGabQZPwxHj22",22,10,"Hard","Heroic-10m",84.624,107.412,92,93
"4785","vpKRzyGabQZPwxHj","vpKRzyGabQZPwxHj23",23,10,"Hard","Heroic-10m",85.905,105.642,100,106
"4786","vpKRzyGabQZPwxHj","vpKRzyGabQZPwxHj25",25,10,"Hard","Heroic-10m",99.958,103.2296,121,128
"4787","vpKRzyGabQZPwxHj","vpKRzyGabQZPwxHj26",26,10,"Hard","Heroic-10m",118.241,97.8228,113,115
"4788","vpKRzyGabQZPwxHj","vpKRzyGabQZPwxHj28",28,10,"Hard","Heroic-10m",93.96,102.0936,109,112
"4789","vpKRzyGabQZPwxHj","vpKRzyGabQZPwxHj29",29,10,"Hard","Heroic-10m",100.45,100.658,132,145
"4790","vpKRzyGabQZPwxHj","vpKRzyGabQZPwxHj30",30,10,"Hard","Heroic-10m",115.01,102.8068,120,122
"4791","vpKRzyGabQZPwxHj","vpKRzyGabQZPwxHj31",31,10,"Hard","Heroic-10m",106.826,102.6472,124,128
"4792","vr6NctCZT4aWLfXb","vr6NctCZT4aWLfXb15",15,10,"Hard","Heroic-10m",85.813,104.3016,124,133
"4793","vw82QzdYknGAMWT7","vw82QzdYknGAMWT710",10,25,"Hard","Heroic-25m",61.873,102.8968,134,136
"4794","vw82QzdYknGAMWT7","vw82QzdYknGAMWT712",12,25,"Hard","Heroic-25m",64.743,120.174,145,146
"4795","vw82QzdYknGAMWT7","vw82QzdYknGAMWT713",13,25,"Hard","Heroic-25m",57.832,116.2072,121,124
"4796","vw82QzdYknGAMWT7","vw82QzdYknGAMWT714",14,25,"Hard","Heroic-25m",64.822,116.2304,143,144
"4797","vw82QzdYknGAMWT7","vw82QzdYknGAMWT715",15,25,"Hard","Heroic-25m",58.334,106.8336,131,137
"4798","vw82QzdYknGAMWT7","vw82QzdYknGAMWT716",16,25,"Hard","Heroic-25m",61.529,105.6328,128,128
"4799","vw82QzdYknGAMWT7","vw82QzdYknGAMWT717",17,25,"Hard","Heroic-25m",64.728,117.662,120,121
"4800","vw82QzdYknGAMWT7","vw82QzdYknGAMWT718",18,25,"Hard","Heroic-25m",84.588,110.1208,134,134
